deptCd,empNm,HjNm,origNm,polyNm
9771310,강경숙,姜景淑,비례대표,조국혁신당
9771142,강대식,姜大植,대구 동구군위군을,국민의힘
9771174,강득구,姜得求,경기 안양시만안구,더불어민주당
9771311,강명구,姜明求,경북 구미시을,국민의힘
9771233,강민국,姜旻局,경남 진주시을,국민의힘
9771312,강선영,姜善榮,비례대표,국민의힘
9771116,강선우,姜仙祐,서울 강서구갑,더불어민주당
9771313,강승규,姜升圭,충남 홍성군예산군,국민의힘
9771314,강유정,姜由楨,비례대표,더불어민주당
9771168,강준현,康準鉉,세종특별자치시을,더불어민주당
9771007,강훈식,姜勳植,충남 아산시을,더불어민주당
9771315,고동진,高東眞,서울 강남구병,국민의힘
9771109,고민정,高旼廷,서울 광진구을,더불어민주당
9771316,곽규택,郭圭澤,부산 서구동구,국민의힘
9771317,곽상언,郭相彦,서울 종로구,더불어민주당
9771224,구자근,具滋根,경북 구미시갑,국민의힘
9770679,권성동,權性東,강원 강릉시,국민의힘
9771108,권영세,權寧世,서울 용산구,국민의힘
9771318,권영진,權泳臻,대구 달서구병,국민의힘
9770998,권칠승,權七勝,경기 화성시병,더불어민주당
9771319,권향엽,權香葉,전남 순천시광양시곡성군구례군을,더불어민주당
9771320,김건,金建,비례대표,국민의힘
9771152,김교흥,金敎興,인천 서구갑,더불어민주당
9771321,김기웅,金基雄,대구 중구남구,국민의힘
9771322,김기표,金起杓,경기 부천시을,더불어민주당
9771164,김기현,金起炫,울산 남구을,국민의힘
9771323,김남근,金南槿,서울 성북구을,더불어민주당
9771324,김남희,金南希,경기 광명시을,더불어민주당
9771325,김대식,金大植,부산 사상구,국민의힘
9770719,김도읍,金度邑,부산 강서구,국민의힘
9771326,김동아,金東我,서울 서대문구갑,더불어민주당
9771327,김문수,金文洙,전남 순천시광양시곡성군구례군갑,더불어민주당
9771136,김미애,金美愛,부산 해운대구을,국민의힘
9771120,김민석,金民錫,서울 영등포구을,더불어민주당
9771328,김민전,金玟甸,비례대표,국민의힘
9770941,김병기,金炳基,서울 동작구갑,더불어민주당
9771268,김병주,金柄周,경기 남양주시을,더불어민주당
9771329,김상욱,金相旭,울산 남구갑,국민의힘
9770725,김상훈,金相勳,대구 서구,국민의힘
9771024,김석기,金碩基,경북 경주시,국민의힘
9771195,김선교,金善敎,경기 여주시양평군,국민의힘
9771330,김선민,金宣旼,비례대표,조국혁신당
9770985,김성원,金成願,경기 동두천시양주시연천군을,국민의힘
9771089,김성환,金星煥,서울 노원구을,더불어민주당
9771331,김성회,金城會,경기 고양시갑,더불어민주당
9771332,김소희,金素熙,비례대표,국민의힘
9771144,김승수,金承洙,대구 북구을,국민의힘
